separation_angstrom,gamma_g_ev
0.010985915492958132,0.09791262853622477
0.18903706267086262,0.13809365733638274
0.32454622694397495,0.190944642094255
0.5776378004637159,0.3233916903140764
0.8190471204623315,0.5563497005979756
1.0604564404609476,0.9154342268059099
1.2931040703187184,1.4985322374908625
1.5432750804581783,2.5572958037223663
1.7961800823614906,4.359880447741251
2.049085084264802,7.515454562350809
2.290494404263417,12.76501320253679
2.5319037242620333,21.605057405466155
2.7848087261653447,36.83401318584636
3.0147223642592644,59.50305426771074
3.2490817058997346,101.69814464079464
3.474549640447104,157.81225135741704
3.6855520924663416,259.1170326254371
3.980359644253727,481.49413421219924
4.4803285212997865,1399.5171668519083
4.980297398345845,4067.854956359652
5.29455116619718,7682.952618106577
5.43917746478873,10538.70133305189
